date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
746;276.8799159;39.15
747;275.5072561;42.8
748;272.0146347;38.5
749;276.2630284;46.71
750;274.2272511;43.34
751;274.2748774;35.1
752;274.6189046;30.05
753;280.1356164;51.03
754;277.9441098;43.63
755;274.9122532;31.45
756;272.699095;22.3
757;268.9401104;36.98
758;266.2856114;36.12
759;266.9467874;27.06
760;267.7211583;19.2
761;261.7829889;43.2
762;263.6295248;36.24
763;265.0526633;19.61
764;258.4543891;9.3
765;250.4925906;35.47
766;251.2186072;28.32
767;253.8352414;15.57
768;256.1758954;-0.62
769;253.8535321;37.11
770;253.1489807;22.9
771;255.5933645;6.6
772;257.2508103;-3.96
773;258.6433659;22.64
774;259.8237052;14.68
775;260.0871876;7.33
776;260.405321;7.35
777;260.2076556;13.54
778;261.7477204;6.76
779;263.2035557;12.72
780;262.8382574;12.98
781;263.7807835;6.63
782;264.1715777;7.74
783;263.9616904;15.66
784;264.6895636;20.36
785;267.9592446;9.22
786;267.4526692;15.98
787;269.3422103;24
788;276.5629306;33.24
789;287.1269822;7.05
790;291.4911046;16.56
791;298.282036;35.4
792;307.2017582;48.47
793;317.1089083;7.1
794;318.353547;29
795;320.1110506;53.32
796;327.5372641;66.51
797;338.9539793;28.46
798;340.4237471;46.09
799;344.6145237;61.66
800;347.0472801;67.87
801;353.3800081;48.13
802;353.5611418;53.79
803;356.6021625;56.8
804;356.8736377;58.17
805;358.8163886;52.5
806;359.2524564;52.7
807;357.2154021;55.19
808;355.7562188;49.68
809;354.5934687;56.92
810;354.300384;54.1
811;351.414476;51.17
812;351.2658964;47
813;351.6203478;53.8
814;352.3567662;52.7
815;353.0744144;50.7
816;354.762979;44.9
817;352.3005821;52.6
818;352.5847737;47.42
819;352.6143253;47.59
820;352.6754079;45.32
821;354.7124206;49.5
822;356.0677028;50.7
823;358.1196375;48.05
824;360.3478773;45.04
825;359.5040381;43.2
826;360.5183779;48.9
827;360.6326553;52.5
828;362.0362651;55.39
829;364.4231235;46.35
830;368.1316687;50.2
831;370.3213408;53.96
832;371.3284696;54.54
833;373.1542063;41.28
834;370.6128892;45.5
835;371.1178516;55.02
836;369.2834314;64.2
837;372.8960585;48.3
838;372.1877946;54
839;371.6482663;58.12
840;372.1030487;60.69
841;373.5915146;56.69
842;374.2753395;56.47
843;374.5516394;56.72
844;376.0269816;56.79
845;383.1663349;60.88
846;385.346298;55.49
847;388.2269722;53.5
848;391.1442245;50.12
849;389.5850095;66.58
850;391.3836669;58.29
851;397.4909222;47.39
852;405.3467314;38.76
853;406.9219125;58.4
854;409.1347699;54.83
855;413.4837136;46.87
856;416.3652084;37.36
857;422.7158726;61.23
858;426.6052805;52.37
859;432.6348807;40.16
860;440.1401084;32.63
861;444.3809068;55.91
862;452.2071729;48.3
863;458.4870267;39.1
864;467.2900389;29.68
865;489.7047708;53.3
866;497.9784902;48.1
867;503.5257889;42.5
868;510.0668654;44.18
869;504.7270075;47.61
870;509.6925378;44.9
871;515.6269771;46.07
872;517.5521211;47.5
873;528.4545486;38.35
874;533.0347474;39.3
875;539.9366322;48.86
876;545.7021003;55.3
877;531.0970527;39.3
878;535.2505222;42.5
879;537.7939694;50.04
880;541.4845687;53.88
881;542.6210588;33.85
882;545.5887624;42.55
883;548.2252715;53.9
884;554.53896;60.9
885;569.8866162;36.48
886;577.4112066;40.44
887;577.9687234;58.64
888;572.9109946;71.5
889;572.6252589;28.45
890;565.7466979;50.88
891;557.1118132;69.25
892;554.1584584;90.58
893;555.4510226;48.32
894;549.71144;65.06
895;545.9149729;80.75
896;543.6634903;89.32
897;543.7422703;69.8
898;545.6767628;75.6
899;552.17063;76.6
900;553.8490816;79.3
901;556.3959597;74.84
902;556.5249993;75.7
903;554.6929301;77.2
904;560.5808335;76.99
905;570.8125449;75.13
